simID	famID	id1	id2	degree	error_type	phi_IBIS	phi_TRUFFLE	phi_IBDseq	phi_clusIBD
sim7801	def7	O	T	1	0	0.241888912164272	0.242298761606882	0.241050150801117	0.240988133993141
sim7801	def7	O	T	1	0.005	0.239850169274342	0.241715901311183	0.240737745447839	0.240988133993141
sim7801	def7	O	T	1	0.01	0.235033027490631	0.234989260592327	0.239609076666306	0.240988133993141
sim7801	def7	O	T	1	0.05	0.0329570443062682	0.0060022693368207	0.0290553131762725	0.240047465538789
sim7801	def7	O	T	1	0.1	0.00330812200239507	NA	0.00447128649985192	0.20742994491152
sim7801	def7	O	T	1	0.2	NA	NA	0.00125328765509728	0.193131988298774
sim7801	def7	O	U	6	0	0.00515722362023629	0.00226047717743301	0.00501559822712979	0.00537435688652992
sim7801	def7	O	U	6	0.005	0.00504792602309054	0.00224866431974717	0.00463050089061564	0.00537435688652992
sim7801	def7	O	U	6	0.01	0.00515722362023629	0.00224932445002961	0.00461640042092339	0.00537435688652992
sim7801	def7	O	U	6	0.05	NA	NA	NA	0.0053972041693238
sim7801	def7	O	U	6	0.1	NA	NA	0.0022084954789197	0.00176143544774018
sim7801	def7	O	U	6	0.2	NA	NA	NA	0.00500710860426057
sim7801	def7	T	U	7	0	0.000645381755904685	0.000456002364447697	0.000621157406597927	NA
sim7801	def7	T	U	7	0.005	NA	0.000456045794071542	NA	NA
sim7801	def7	T	U	7	0.01	0.000645381755904685	0.000439872602151665	NA	NA
sim7801	def7	T	U	7	0.05	0.000612149320879246	NA	NA	NA
sim7801	def7	T	U	7	0.1	NA	NA	NA	NA
sim7801	def7	T	U	7	0.2	NA	NA	NA	NA
sim7801	def8	D	F	1	0	0.191874204114142	0.195407327701501	0.218707209714505	0.212751366124419
sim7801	def8	D	F	1	0.005	0.16503065605945	0.192808255804723	0.214941110399994	0.19709603138447
sim7801	def8	D	F	1	0.01	0.153670408623859	0.190753869564284	0.20736028414231	0.210493430448574
sim7801	def8	D	F	1	0.05	0.0514011100212302	0.0466899986240627	0.0784630184317611	0.190874839133416
sim7801	def8	D	F	1	0.1	0.034901650620159	0.0327408551131377	0.0481905954325059	0.217364371477928
sim7801	def8	D	F	1	0.2	0.00737650779945232	0.00538281524006997	0.0351505496451746	0.137639174507429
sim7801	def8	D	O	2	0	0.117846367601417	0.120172722393527	0.116949183752814	0.120138048008131
sim7801	def8	D	O	2	0.005	0.117496419509807	0.120147090229534	0.115555337336172	0.120081393108374
sim7801	def8	D	O	2	0.01	0.113393557453297	0.113562447008802	0.110847947423472	0.119714975113653
sim7801	def8	D	O	2	0.05	0.0148405105694285	0.00238617119476519	0.016759060759338	0.116198473606806
sim7801	def8	D	O	2	0.1	0.000907525918647507	NA	0.00198728825333167	0.104953714140084
sim7801	def8	D	O	2	0.2	NA	NA	NA	0.0945743986762512
sim7801	def8	D	S	0	0	0.000766417859220251	NA	NA	NA
sim7801	def8	D	S	0	0.005	0.000766417859220251	NA	NA	NA
sim7801	def8	D	S	0	0.01	0.000766417859220251	NA	NA	NA
sim7801	def8	D	S	0	0.05	NA	NA	NA	NA
sim7801	def8	D	S	0	0.1	NA	NA	NA	NA
sim7801	def8	D	S	0	0.2	NA	NA	NA	NA
sim7801	def8	D	T	3	0	0.0688460576963074	0.0693071565271133	0.068460330109092	0.070677163380916
sim7801	def8	D	T	3	0.005	0.0672784546530755	0.0691550572984834	0.0676424323372324	0.0706205084811584
sim7801	def8	D	T	3	0.01	0.0665773283691884	0.0674989120227782	0.0633156209955444	0.0704214302992451
sim7801	def8	D	T	3	0.05	0.00492018794708246	0.000831816271427992	0.00545311225326968	0.0672546024956451
sim7801	def8	D	T	3	0.1	NA	NA	NA	0.0580307873298311
sim7801	def8	D	T	3	0.2	NA	NA	NA	0.0498751077803832
sim7801	def8	D	U	4	0	0.0118624361626873	0.0096526073943156	0.010751377572468	0.0107754958666333
sim7801	def8	D	U	4	0.005	0.0107329932046797	0.00836830655797135	0.0103657093101188	0.0107754958666333
sim7801	def8	D	U	4	0.01	0.00942345697738556	0.00645538797424509	0.0087130994663724	0.0106945447849712
sim7801	def8	D	U	4	0.05	0.00154156246705592	0.00101192760743796	0.00156166821141496	0.00977027249022831
sim7801	def8	D	U	4	0.1	0.000725119327017328	NA	NA	0.008339047325513
sim7801	def8	D	U	4	0.2	NA	NA	NA	0.0116166934579673
sim7801	def8	F	S	0	0	0.00153119347064443	NA	NA	NA
sim7801	def8	F	S	0	0.005	0.000727230441032434	NA	NA	NA
sim7801	def8	F	S	0	0.01	NA	NA	NA	NA
sim7801	def8	F	S	0	0.05	NA	NA	NA	NA
sim7801	def8	F	S	0	0.1	NA	NA	NA	NA
sim7801	def8	F	S	0	0.2	NA	NA	NA	NA
sim7801	def8	O	Q	5	0	0.00511878301786011	0.0054020545634333	0.00480519941888731	0.00486868710136437
sim7801	def8	O	Q	5	0.005	0.00549746718868032	0.00538857400819182	0.00480624086126712	0.0048682101572353
sim7801	def8	O	Q	5	0.01	0.00456872068722967	0.00480662573459363	0.00423918695088506	0.00486994334666371
sim7801	def8	O	Q	5	0.05	0.00141637310195281	NA	0.00135524764357593	0.00416249310152997
sim7801	def8	O	Q	5	0.1	NA	NA	NA	0.00452220556232899
sim7801	def8	O	Q	5	0.2	NA	NA	NA	0.00419605421194867
sim7801	def8	O	T	1	0	0.241888912164272	0.242287244070638	0.241405587268012	0.240988133993141
sim7801	def8	O	T	1	0.005	0.238709846500687	0.241344960207998	0.240863824946513	0.240988133993141
sim7801	def8	O	T	1	0.01	0.231091136032014	0.235018219465507	0.239546752202874	0.240988133993141
sim7801	def8	O	T	1	0.05	0.0293356968255785	0.00894202057488853	0.0312519970135359	0.238047051637102
sim7801	def8	O	T	1	0.1	NA	NA	0.00306635805923399	0.210948771292991
sim7801	def8	O	T	1	0.2	NA	NA	NA	0.198182391634468
sim7801	def8	O	U	6	0	0.000732085872978304	NA	0.000527190379810214	NA
sim7801	def8	O	U	6	0.005	0.000732085872978304	NA	0.000527190379810214	NA
sim7801	def8	O	U	6	0.01	0.000668378349745345	NA	0.000527190379810214	NA
sim7801	def8	O	U	6	0.05	NA	NA	NA	NA
sim7801	def8	O	U	6	0.1	NA	NA	NA	NA
sim7801	def8	O	U	6	0.2	NA	NA	NA	NA
sim7801	def8	T	U	7	0	0.000919012706717518	NA	NA	0.000883819771612468
sim7801	def8	T	U	7	0.005	0.000919012706717518	NA	NA	0.000819199444545535
sim7801	def8	T	U	7	0.01	0.000881512008260592	NA	NA	NA
sim7801	def8	T	U	7	0.05	NA	NA	NA	NA
sim7801	def8	T	U	7	0.1	NA	NA	NA	NA
sim7801	def8	T	U	7	0.2	NA	NA	NA	NA
sim7801	def9	D	F	1	0	0.235155129878071	0.238233340576526	0.245347368907586	0.252157304720716
sim7801	def9	D	F	1	0.005	0.192853777694127	0.237516682295685	0.243501531373414	0.251272085820342
sim7801	def9	D	F	1	0.01	0.175841336696419	0.230963351833745	0.239906580678675	0.250320760083735
sim7801	def9	D	F	1	0.05	0.078557294822236	0.0620139242496505	0.103432402009081	0.235298882280435
sim7801	def9	D	F	1	0.1	0.049020834397902	0.0455765672997742	0.0709150975840341	0.211231392523377
sim7801	def9	D	F	1	0.2	0.00930924219136883	0.00209375085149206	0.0538990661435111	0.204704802201993
sim7801	def9	D	O	2	0	0.123156696801527	0.123003934315682	0.122513335739161	0.123608290277421
sim7801	def9	D	O	2	0.005	0.122487861224702	0.122211413167909	0.121751123952151	0.123291945770402
sim7801	def9	D	O	2	0.01	0.117355440523221	0.118727514800838	0.119706741291268	0.123413905621816
sim7801	def9	D	O	2	0.05	0.0125120039263159	0.00217043888127756	0.0145373873427957	0.119239369659313
sim7801	def9	D	O	2	0.1	NA	NA	NA	0.0995724899877128
sim7801	def9	D	O	2	0.2	NA	NA	NA	0.091949213588966
sim7801	def9	D	S	0	0	0.00145241117753788	NA	NA	NA
sim7801	def9	D	S	0	0.005	0.00145241117753788	NA	NA	NA
